Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200
2025-06-11 00:00:00+02:00,376.4066575314514,376.4978247964393,365.74075521610695,366.1965637207031,32144,0.0,0.0,,
2025-06-12 00:00:00+02:00,366.74352294869686,369.5695413281726,359.7240884542476,366.10540771484375,19181,0.0,0.0,,
2025-06-13 00:00:00+02:00,364.64679125914444,364.64679125914444,354.80133902328447,358.2654724121094,33043,0.0,0.0,,
2025-06-16 00:00:00+02:00,360.27105015602945,362.8235666323408,355.439463355403,357.718505859375,20564,0.0,0.0,,
2025-06-17 00:00:00+02:00,360.544520042886,364.82913102993984,354.8013441260922,362.00311279296875,19092,0.0,0.0,,
2025-06-18 00:00:00+02:00,363.5528708119639,363.8263726209762,357.35388595917726,359.9064025878906,25442,0.0,0.0,,
2025-06-20 00:00:00+02:00,360.0887258605683,365.4672607587206,353.7074066681025,359.99755859375,57323,0.0,0.0,,
2025-06-23 00:00:00+02:00,355.5306407655245,358.72130036213815,344.59123643427756,346.32330322265625,48737,0.0,0.0,,
2025-06-24 00:00:00+02:00,354.2543535675133,364.09980553365665,353.70737783154055,362.82354736328125,25758,0.0,0.0,,
2025-06-25 00:00:00+02:00,362.82358616142517,364.19101173741046,355.3483152179012,357.8096923828125,38451,0.0,0.0,,
2025-06-26 00:00:00+02:00,359.1770786633606,366.37884701157793,359.1770786633606,365.1937561035156,28150,0.0,0.0,,
2025-06-27 00:00:00+02:00,368.0197999495183,368.29327392578125,364.0086628287053,368.29327392578125,23207,0.0,0.0,,
2025-06-30 00:00:00+02:00,369.75186449248463,371.75740522050177,365.28494671151077,366.1965637207031,18129,0.0,0.0,,
2025-07-01 00:00:00+02:00,368.2932574462891,370.75463440389376,362.3677471160889,364.64678955078125,31533,0.0,0.0,,
2025-07-02 00:00:00+02:00,366.4700286952833,368.3844299316406,362.2765849919155,368.3844299316406,26070,0.0,0.0,,
2025-07-03 00:00:00+02:00,369.11374784496775,376.8624929770419,369.0225805734625,373.76300048828125,25084,0.0,0.0,,
2025-07-04 00:00:00+02:00,373.76294924889083,374.2187577235846,367.9286063368789,369.2048645019531,10622,0.0,0.0,,
2025-07-07 00:00:00+02:00,369.2048897861239,371.93974082157666,363.82635498046875,363.82635498046875,24561,0.0,0.0,,
2025-07-08 00:00:00+02:00,366.92584145904175,371.57509370992057,366.92584145904175,370.93695068359375,29494,0.0,0.0,,
2025-07-09 00:00:00+02:00,372.9399463776859,380.85656275222607,372.9399463776859,378.3766784667969,32383,18.0,0.0,,
2025-07-10 00:00:00+02:00,380.37966044458136,380.37966044458136,372.0815255844915,374.08453369140625,17340,0.0,0.0,,
2025-07-11 00:00:00+02:00,375.80139547706415,375.80139547706415,371.03234223496946,373.1307373046875,17607,0.0,0.0,,
2025-07-14 00:00:00+02:00,372.9399455782733,376.75518798828125,370.2692875344636,376.75518798828125,14828,0.0,0.0,,
2025-07-15 00:00:00+02:00,377.1367238823673,380.093542708726,372.6538313076863,374.752197265625,20915,0.0,0.0,,
2025-07-16 00:00:00+02:00,376.278298854145,376.278298854145,371.9861509584704,374.466064453125,17657,0.0,0.0,,
2025-07-17 00:00:00+02:00,376.1829069690426,380.0935363769531,373.7983803920228,380.0935363769531,12154,0.0,0.0,,
2025-07-18 00:00:00+02:00,380.37967708506704,385.5302779018828,380.37967708506704,384.7672119140625,31827,0.0,0.0,,
2025-07-21 00:00:00+02:00,384.38568635651166,385.81640231069224,382.09654665142085,385.2441101074219,14838,0.0,0.0,,
2025-07-22 00:00:00+02:00,385.24410203866955,385.24410203866955,379.99814364988157,380.8565673828125,12321,0.0,0.0,,
2025-07-23 00:00:00+02:00,384.2902931507163,389.72702533037847,381.14272974648463,387.3424987792969,28758,0.0,0.0,,
2025-07-24 00:00:00+02:00,387.72401439279747,395.06836776003905,385.81639316577264,394.8775939941406,49832,0.0,0.0,,
2025-07-25 00:00:00+02:00,394.87760034895865,396.308316292252,390.10854720464755,392.7792053222656,26551,0.0,0.0,,
2025-07-28 00:00:00+02:00,394.87760205638267,397.4529024086422,383.622648230339,384.9579772949219,26875,0.0,0.0,,
2025-07-29 00:00:00+02:00,384.38568094793294,393.446881863579,384.38568094793294,392.2069396972656,20849,0.0,0.0,,
2025-07-30 00:00:00+02:00,392.0161654467699,397.07135009765625,390.68083639823294,397.07135009765625,34693,0.0,0.0,,
2025-07-31 00:00:00+02:00,397.1667315589391,397.73902374563863,391.06234948611956,392.969970703125,68476,0.0,0.0,,
2025-08-01 00:00:00+02:00,392.01616821289065,392.01616821289065,384.38568318684895,386.2933044433594,27744,0.0,0.0,,
2025-08-04 00:00:00+02:00,386.29329812420326,390.3946721154124,382.4780556735938,388.3916931152344,12953,0.0,0.0,,
2025-08-05 00:00:00+02:00,389.1547321880845,391.06235342430057,382.4780578613281,382.4780578613281,21050,0.0,0.0,,
2025-08-06 00:00:00+02:00,384.0995436872455,392.969970703125,382.5734408920432,392.969970703125,23161,0.0,0.0,,
2025-08-07 00:00:00+02:00,392.49307179835176,409.18475771930235,390.108545238216,405.1787414550781,61989,0.0,0.0,,
2025-08-08 00:00:00+02:00,404.6064811561,409.85243962456053,399.64665423363203,408.7078552246094,23106,0.0,0.0,,
2025-08-11 00:00:00+02:00,408.7078603466911,409.470897217561,402.8896096053384,406.3233337402344,39916,0.0,0.0,,
2025-08-12 00:00:00+02:00,404.89259862400183,410.13855691006074,404.89259862400183,409.6616516113281,25189,0.0,0.0,,
2025-08-13 00:00:00+02:00,408.23094390748685,409.66165983239625,400.12355366633346,406.2279357910156,17668,0.0,0.0,,
2025-08-14 00:00:00+02:00,404.12957483492795,405.56029077731074,397.83441886684545,400.6004638671875,18524,0.0,0.0,,
2025-08-18 00:00:00+02:00,400.60046196400964,404.22493069096413,393.2561085181401,401.935791015625,16252,0.0,0.0,,
2025-08-19 00:00:00+02:00,406.2279500543931,406.6094684928334,397.8344279767426,405.2741394042969,19821,0.0,0.0,,
2025-08-20 00:00:00+02:00,400.60046705227074,404.5110964808077,396.40370607617837,399.55126953125,12971,0.0,0.0,,
2025-08-21 00:00:00+02:00,401.55427979017026,405.08339080444404,396.78522658601145,404.70184326171875,9889,0.0,0.0,380.6124792480469,
2025-08-22 00:00:00+02:00,400.6004788582785,411.1877830497027,399.64666819433023,407.7540588378906,48538,0.0,0.0,381.4436291503906,
2025-08-25 00:00:00+02:00,408.230935484437,410.61546197675267,403.55726938109626,406.418701171875,14256,0.0,0.0,382.24989501953127,
2025-08-26 00:00:00+02:00,406.41872902285644,410.1385847841845,400.40970438564216,406.132568359375,31047,0.0,0.0,383.20723693847657,
2025-08-27 00:00:00+02:00,412.04619152940893,419.4859027888271,407.2771383867074,418.15057373046875,56967,0.0,0.0,384.41587829589844,
2025-08-28 00:00:00+02:00,418.1505844226824,435.41456306230407,418.1505844226824,432.5531311035156,83901,0.0,0.0,385.8268786621094,
2025-08-29 00:00:00+02:00,432.5531085041824,439.70668802740477,429.21477139334525,433.69769287109375,64778,0.0,0.0,387.3027044677734,
2025-09-01 00:00:00+02:00,432.5531089690983,438.27597259382725,429.50090339271367,432.3623352050781,19150,0.0,0.0,388.75,
2025-09-02 00:00:00+02:00,432.362354199398,439.32518938016636,432.0762226487872,436.84527587890625,38835,0.0,0.0,390.560439453125,
2025-09-03 00:00:00+02:00,435.8914481740729,440.85127498248795,432.07620573928887,434.26995849609375,26215,0.0,0.0,391.98936767578124,
2025-09-04 00:00:00+02:00,434.9376545868586,438.5621233985528,432.0762226487872,436.84527587890625,17954,0.0,0.0,393.5700793457031,
2025-09-05 00:00:00+02:00,436.36835219833875,440.5651130426921,432.0762044717977,433.98382568359375,22643,0.0,0.0,394.94588073730466,
2025-09-08 00:00:00+02:00,435.41455965263896,452.0108590620505,435.22378588035053,451.1524353027344,32101,0.0,0.0,396.6030639648437,
2025-09-09 00:00:00+02:00,450.389386450341,452.01084703970224,444.3803620789713,446.1925964355469,17150,0.0,0.0,398.20298461914064,
2025-09-10 00:00:00+02:00,444.4757599106903,449.4355869005295,429.88246870703347,443.0450439453125,43221,0.0,0.0,399.77094970703126,
2025-09-11 00:00:00+02:00,438.94365590025825,449.43557264695033,438.94365590025825,447.2417907714844,17953,0.0,0.0,401.3480969238281,
2025-09-12 00:00:00+02:00,449.24482040586304,453.53696837152415,446.38338842875567,449.0540466308594,30913,0.0,0.0,402.8539178466797,
2025-09-15 00:00:00+02:00,449.7217129929741,457.6383295954655,449.7217129929741,453.2508239746094,27944,0.0,0.0,404.5348370361328,
2025-09-16 00:00:00+02:00,454.39536505305153,456.11224160175453,446.0018433971355,446.38336181640625,34453,0.0,0.0,406.18597717285155,
2025-09-17 00:00:00+02:00,446.38338409708825,457.73372500787326,446.38338409708825,456.3030090332031,31851,0.0,0.0,407.89329833984374,
2025-09-18 00:00:00+02:00,456.303003078272,460.3090193982648,452.8692789622769,453.8230895996094,25645,0.0,0.0,409.4022265625,
2025-09-19 00:00:00+02:00,454.01387443648446,457.06608019353973,451.1524424547419,453.9184875488281,95513,0.0,0.0,410.99890563964846,
2025-09-22 00:00:00+02:00,453.91848041938755,454.9676779511456,448.0048718814628,454.3953857421875,21594,0.0,0.0,412.62419860839844,
2025-09-23 00:00:00+02:00,454.96765741257394,459.64132354343224,454.87227053072183,457.44757080078125,16184,0.0,0.0,414.23804626464846,
2025-09-24 00:00:00+02:00,458.3060029235509,459.4505873107808,451.24781015694026,457.2568054199219,21065,0.0,0.0,415.88813842773436,
2025-09-25 00:00:00+02:00,457.8291106286768,457.9244975149893,448.95868325344253,456.0168762207031,14827,0.0,0.0,417.51915466308594,
2025-09-26 00:00:00+02:00,455.9214970137568,456.8753076769655,446.95568260119336,450.961669921875,42668,0.0,0.0,418.9365173339844,
2025-09-29 00:00:00+02:00,450.96164084619704,452.10622521144717,438.2759714866244,443.1404113769531,16789,0.0,0.0,420.1039813232422,
2025-09-30 00:00:00+02:00,442.4727528688486,442.5681397550492,432.1716095349878,436.84527587890625,23605,0.0,0.0,421.13600463867186,
2025-10-01 00:00:00+02:00,435.8914468953898,436.8452575012878,428.7378673511547,433.98382568359375,32016,0.0,0.0,422.1985498046875,
2025-10-02 00:00:00+02:00,433.98383790412834,436.84526980239735,427.30716347483406,431.1224060058594,37102,0.0,0.0,423.07414794921874,
2025-10-03 00:00:00+02:00,434.9376444135393,434.9376444135393,422.63349318922803,427.3071594238281,22312,0.0,0.0,423.7227392578125,
2025-10-06 00:00:00+02:00,429.2147725177436,429.2147725177436,419.67666646179373,422.91961669921875,28365,0.0,0.0,424.32554748535154,
2025-10-07 00:00:00+02:00,422.7288882198686,423.4919250903486,416.24295838882557,420.6304931640625,62350,0.0,0.0,425.0389978027344,
2025-10-08 00:00:00+02:00,418.0551927872086,423.11040665510865,414.33533710463485,420.6304931640625,26619,0.0,0.0,425.6074688720703,
2025-10-09 00:00:00+02:00,422.0612071978716,427.3071657054158,418.53209619505475,421.9658203125,30217,0.0,0.0,426.1053582763672,
2025-10-10 00:00:00+02:00,424.44573175561237,427.78406897166775,418.150575755167,420.0581970214844,35823,0.0,0.0,426.6471228027344,
2025-10-13 00:00:00+02:00,414.90762657537493,419.67667975440224,411.56928935005584,417.10137939453125,19070,0.0,0.0,427.26328430175784,
2025-10-14 00:00:00+02:00,415.3845154253521,421.10737901330185,408.70784123941075,420.7258605957031,23849,0.0,0.0,427.9099676513672,
2025-10-15 00:00:00+02:00,428.45173881195655,446.3833666851736,426.6394753616719,440.7558898925781,33606,0.0,0.0,429.07552429199217,
2025-10-16 00:00:00+02:00,446.097235906897,446.097235906897,431.31317138671875,431.31317138671875,30032,0.0,0.0,429.8423883056641,
2025-10-17 00:00:00+02:00,429.2147950038014,431.7900954170207,419.0090093460701,426.3533630371094,22463,0.0,0.0,430.2658807373047,
2025-10-20 00:00:00+02:00,434.3653642565502,437.0360515417638,429.97782944426365,432.2669982910156,19344,0.0,0.0,430.7370635986328,
2025-10-21 00:00:00+02:00,436.46373826759435,440.660499104131,429.6916771567338,432.3623352050781,15996,0.0,0.0,431.2578436279297,
2025-10-22 00:00:00+02:00,432.36235406965625,436.46375731112244,427.68868772714023,430.359375,10263,0.0,0.0,431.67179809570314,
2025-10-23 00:00:00+02:00,433.9838248752805,437.1313882256856,429.59629027472374,432.3623352050781,9178,0.0,0.0,432.1944860839844,
2025-10-24 00:00:00+02:00,434.3653465406324,448.5771188266261,434.3653465406324,442.3773498535156,25232,0.0,0.0,433.03002380371095,
2025-10-27 00:00:00+01:00,448.29099335568714,451.7247174242649,439.89747150626613,444.8572692871094,18371,0.0,0.0,433.8884533691406,
2025-10-28 00:00:00+01:00,446.3833709814297,451.6293294010833,443.6173259999377,447.8140869140625,17712,0.0,0.0,434.73925231933595,
2025-10-29 00:00:00+01:00,448.29100846057537,452.48776952669317,444.18963428168576,445.52496337890625,15958,0.0,0.0,435.6587261962891,
