Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200
2025-06-16 00:00:00-04:00,248.33784170392858,253.13893703088328,247.56411209074776,250.0737762451172,20363000,0.0,0.0,,
2025-06-17 00:00:00-04:00,248.93299475796073,251.9188116709702,245.92734949230686,247.36569213867188,22014300,0.0,0.0,,
2025-06-18 00:00:00-04:00,248.87350296345045,253.58532544323145,247.405402513135,249.2405242919922,30435500,0.0,0.0,,
2025-06-20 00:00:00-04:00,251.7660615795093,252.0742913585741,242.7776042213766,248.56442260742188,42134900,0.59,0.0,,
2025-06-23 00:00:00-04:00,247.6894161171529,252.760338725152,245.05453418015304,252.32284545898438,19747000,0.0,0.0,,
2025-06-24 00:00:00-04:00,257.294321222405,264.3538386650651,257.294321222405,262.26580810546875,32764900,0.0,0.0,,
2025-06-25 00:00:00-04:00,264.48308502798244,268.3310107709786,261.92773365334375,263.1407775878906,18894200,0.0,0.0,,
2025-06-26 00:00:00-04:00,263.56833318627395,270.1207795493839,262.62376889198543,268.62933349609375,23569600,0.0,0.0,,
2025-06-27 00:00:00-04:00,268.7585596308933,270.2997387184157,265.35807971078367,267.8139953613281,27477600,0.0,0.0,,
2025-06-30 00:00:00-04:00,273.16335779257923,276.1263448651512,270.5781782740851,274.0780944824219,24708400,0.0,0.0,,
2025-07-01 00:00:00-04:00,272.83517059987884,272.9346063976945,261.16213011269514,263.2302551269531,28847600,0.0,0.0,,
2025-07-02 00:00:00-04:00,262.48456890720286,270.4489010336063,261.2317747786756,268.3608703613281,17582100,0.0,0.0,,
2025-07-03 00:00:00-04:00,269.1861431149877,274.2272078173821,268.5796059289009,273.6107482910156,10592700,0.0,0.0,,
2025-07-07 00:00:00-04:00,273.5610497498013,275.97718516023826,271.10513394699154,272.616455078125,16760600,0.0,0.0,,
2025-07-08 00:00:00-04:00,274.774071021526,274.774071021526,269.60371280936664,270.25,14869400,0.0,0.0,,
2025-07-09 00:00:00-04:00,271.40341490627577,277.85642578711236,271.16479323572867,276.31524658203125,20133000,0.0,0.0,,
2025-07-10 00:00:00-04:00,278.19447844829074,279.57653605766296,271.1449135132259,273.8294982910156,17891600,0.0,0.0,,
2025-07-11 00:00:00-04:00,272.5766859667356,274.89338540599704,270.33951696310925,272.8153076171875,14274700,0.0,0.0,,
2025-07-14 00:00:00-04:00,272.56673253796464,276.7725908334091,268.04266147021036,274.0283508300781,11934200,0.0,0.0,,
2025-07-15 00:00:00-04:00,278.2143298019854,281.74407313940566,276.2655155571406,279.337890625,17918400,0.0,0.0,,
2025-07-16 00:00:00-04:00,278.51259792716763,279.9046384009573,274.0979458979762,279.2086181640625,15031000,0.0,0.0,,
2025-07-17 00:00:00-04:00,279.5367511689691,286.63601795187174,278.31375459393416,284.81646728515625,17231100,0.0,0.0,,
2025-07-18 00:00:00-04:00,285.4727028006807,285.89032104645884,279.39756044627137,281.7242126464844,15012400,0.0,0.0,,
2025-07-21 00:00:00-04:00,282.34067294130205,288.883166634135,282.01256816006986,286.5664367675781,17726800,0.0,0.0,,
