Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200
2025-06-10 00:00:00+02:00,19.420000076293945,19.520000457763672,19.100000381469727,19.31999969482422,12081,0.0,0.0,,
2025-06-11 00:00:00+02:00,19.299999237060547,19.440000534057617,19.0,19.3799991607666,16425,0.0,0.0,,
2025-06-12 00:00:00+02:00,19.399999618530273,19.399999618530273,18.799999237060547,19.100000381469727,16608,0.0,0.0,,
2025-06-13 00:00:00+02:00,19.079999923706055,19.079999923706055,18.81999969482422,18.899999618530273,18790,0.0,0.0,,
2025-06-16 00:00:00+02:00,18.899999618530273,19.1200008392334,17.81999969482422,18.079999923706055,56406,0.0,0.0,,
2025-06-17 00:00:00+02:00,18.200000762939453,18.440000534057617,17.81999969482422,18.0,25229,0.0,0.0,,
2025-06-18 00:00:00+02:00,17.959999084472656,18.059999465942383,17.299999237060547,17.84000015258789,17351,0.0,0.0,,
2025-06-20 00:00:00+02:00,17.700000762939453,17.899999618530273,17.700000762939453,17.799999237060547,8561,0.0,0.0,,
2025-06-23 00:00:00+02:00,17.799999237060547,17.979999542236328,17.600000381469727,17.780000686645508,13836,0.0,0.0,,
2025-06-24 00:00:00+02:00,17.780000686645508,18.0,17.65999984741211,17.959999084472656,11299,0.0,0.0,,
2025-06-25 00:00:00+02:00,18.0,18.8799991607666,17.920000076293945,18.81999969482422,15999,0.0,0.0,,
2025-06-26 00:00:00+02:00,18.81999969482422,19.399999618530273,18.719999313354492,19.020000457763672,14585,0.0,0.0,,
2025-06-27 00:00:00+02:00,19.020000457763672,19.479999542236328,18.84000015258789,19.100000381469727,15127,0.0,0.0,,
2025-06-30 00:00:00+02:00,19.280000686645508,19.3799991607666,19.0,19.059999465942383,11160,0.0,0.0,,
2025-07-01 00:00:00+02:00,19.040000915527344,19.299999237060547,18.979999542236328,19.260000228881836,6462,0.0,0.0,,
2025-07-02 00:00:00+02:00,19.260000228881836,19.299999237060547,18.719999313354492,19.059999465942383,10236,0.0,0.0,,
2025-07-03 00:00:00+02:00,19.020000457763672,19.18000030517578,18.899999618530273,18.979999542236328,15125,0.0,0.0,,
2025-07-04 00:00:00+02:00,18.979999542236328,19.15999984741211,18.920000076293945,19.100000381469727,9606,0.0,0.0,,
2025-07-07 00:00:00+02:00,19.1200008392334,19.200000762939453,18.579999923706055,18.899999618530273,11952,0.0,0.0,,
2025-07-08 00:00:00+02:00,19.15999984741211,19.15999984741211,18.799999237060547,18.84000015258789,5534,0.0,0.0,,
2025-07-09 00:00:00+02:00,18.81999969482422,19.040000915527344,18.479999542236328,18.540000915527344,27007,0.0,0.0,,
2025-07-10 00:00:00+02:00,18.559999465942383,19.040000915527344,18.459999084472656,18.459999084472656,24645,0.0,0.0,,
2025-07-11 00:00:00+02:00,18.459999084472656,18.81999969482422,18.459999084472656,18.81999969482422,4477,0.0,0.0,,
2025-07-14 00:00:00+02:00,18.81999969482422,19.079999923706055,18.799999237060547,18.8799991607666,9235,0.0,0.0,,
2025-07-15 00:00:00+02:00,18.860000610351562,19.100000381469727,18.6200008392334,19.0,8001,0.0,0.0,,
2025-07-16 00:00:00+02:00,19.0,19.040000915527344,18.719999313354492,18.8799991607666,4525,0.0,0.0,,
2025-07-17 00:00:00+02:00,18.84000015258789,18.860000610351562,18.700000762939453,18.780000686645508,6615,0.0,0.0,,
2025-07-18 00:00:00+02:00,18.799999237060547,18.979999542236328,18.799999237060547,18.860000610351562,5690,0.0,0.0,,
2025-07-21 00:00:00+02:00,18.860000610351562,18.979999542236328,18.479999542236328,18.5,36849,0.0,0.0,,
2025-07-22 00:00:00+02:00,18.5,18.700000762939453,18.200000762939453,18.5,25320,0.0,0.0,,
2025-07-23 00:00:00+02:00,18.5,18.5,18.260000228881836,18.5,17176,0.0,0.0,,
2025-07-24 00:00:00+02:00,18.5,18.5,18.200000762939453,18.280000686645508,19739,0.0,0.0,,
2025-07-25 00:00:00+02:00,18.200000762939453,18.360000610351562,18.100000381469727,18.299999237060547,20222,0.0,0.0,,
2025-07-28 00:00:00+02:00,18.299999237060547,18.34000015258789,18.18000030517578,18.280000686645508,10186,0.0,0.0,,
2025-07-29 00:00:00+02:00,18.280000686645508,18.34000015258789,18.059999465942383,18.34000015258789,10967,0.0,0.0,,
2025-07-30 00:00:00+02:00,18.34000015258789,18.459999084472656,18.059999465942383,18.139999389648438,8002,0.0,0.0,,
2025-07-31 00:00:00+02:00,18.200000762939453,18.479999542236328,18.0,18.299999237060547,18645,0.0,0.0,,
2025-08-01 00:00:00+02:00,18.299999237060547,18.34000015258789,18.1200008392334,18.200000762939453,7591,0.0,0.0,,
2025-08-04 00:00:00+02:00,18.200000762939453,18.239999771118164,17.979999542236328,18.079999923706055,16559,0.0,0.0,,
2025-08-05 00:00:00+02:00,18.079999923706055,18.100000381469727,17.899999618530273,18.0,20359,0.0,0.0,,
2025-08-06 00:00:00+02:00,18.0,18.0,17.799999237060547,17.899999618530273,14309,0.0,0.0,,
2025-08-07 00:00:00+02:00,17.899999618530273,18.0,17.600000381469727,18.0,18645,0.0,0.0,,
2025-08-08 00:00:00+02:00,18.0,18.239999771118164,17.780000686645508,18.059999465942383,20468,0.0,0.0,,
2025-08-11 00:00:00+02:00,18.0,18.0,17.700000762939453,17.760000228881836,10955,0.0,0.0,,
2025-08-12 00:00:00+02:00,17.760000228881836,18.0,17.299999237060547,17.700000762939453,24882,0.0,0.0,,
2025-08-13 00:00:00+02:00,17.700000762939453,17.719999313354492,17.3799991607666,17.420000076293945,14547,0.0,0.0,,
2025-08-14 00:00:00+02:00,17.5,17.68000030517578,17.299999237060547,17.540000915527344,17079,0.0,0.0,,
2025-08-18 00:00:00+02:00,17.540000915527344,17.579999923706055,17.0,17.3799991607666,33354,0.0,0.0,,
2025-08-19 00:00:00+02:00,17.3799991607666,17.399999618530273,16.959999084472656,17.18000030517578,53306,0.0,0.0,,
