Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA50,SMA200
2025-06-11 00:00:00+01:00,114.88999938964844,115.79000091552734,114.77999877929688,115.41999816894531,249460,0.0,0.0,0.0,,
2025-06-12 00:00:00+01:00,114.83000183105469,115.52999877929688,114.31999969482422,115.30999755859375,598101,0.0,0.0,0.0,,
2025-06-13 00:00:00+01:00,113.9800033569336,114.80999755859375,113.80999755859375,114.80999755859375,254355,0.0,0.0,0.0,,
2025-06-16 00:00:00+01:00,114.6500015258789,115.5999984741211,114.56999969482422,115.37000274658203,231103,0.0,0.0,0.0,,
2025-06-17 00:00:00+01:00,114.6500015258789,114.83000183105469,114.2699966430664,114.55000305175781,215095,0.0,0.0,0.0,,
2025-06-18 00:00:00+01:00,114.41000366210938,114.69999694824219,114.02999877929688,114.4800033569336,378584,0.0,0.0,0.0,,
2025-06-19 00:00:00+01:00,113.98999786376953,113.98999786376953,112.94999694824219,112.94999694824219,194626,0.0,0.0,0.0,,
2025-06-20 00:00:00+01:00,113.72000122070312,114.5199966430664,113.30999755859375,113.87000274658203,228560,0.0,0.0,0.0,,
2025-06-23 00:00:00+01:00,113.3499984741211,114.0999984741211,113.01000213623047,113.91000366210938,722756,0.0,0.0,0.0,,
2025-06-24 00:00:00+01:00,115.75,120.73999786376953,115.20999908447266,115.69999694824219,249243,0.0,0.0,0.0,,
2025-06-25 00:00:00+01:00,115.87000274658203,115.98999786376953,115.56999969482422,115.56999969482422,288070,0.0,0.0,0.0,,
2025-06-26 00:00:00+01:00,116.13999938964844,116.58999633789062,116.12000274658203,116.5199966430664,187035,0.0,0.0,0.0,,
2025-06-27 00:00:00+01:00,117.16000366210938,123.51000213623047,117.08999633789062,117.61000061035156,220421,0.0,0.0,0.0,,
2025-06-30 00:00:00+01:00,117.91999816894531,117.98999786376953,117.5,117.66000366210938,346710,0.0,0.0,0.0,,
2025-07-01 00:00:00+01:00,117.81999969482422,124.70999908447266,117.44999694824219,117.69999694824219,410640,0.0,0.0,0.0,,
2025-07-02 00:00:00+01:00,118.29000091552734,118.3499984741211,117.54000091552734,118.12000274658203,413130,0.0,0.0,0.0,,
2025-07-03 00:00:00+01:00,118.48999786376953,119.11000061035156,118.30000305175781,119.11000061035156,257643,0.0,0.0,0.0,,
2025-07-04 00:00:00+01:00,118.66999816894531,118.7300033569336,118.16000366210938,118.4800033569336,192738,0.0,0.0,0.0,,
2025-07-07 00:00:00+01:00,118.41000366210938,118.7300033569336,118.27999877929688,118.38999938964844,411315,0.0,0.0,0.0,,
2025-07-08 00:00:00+01:00,118.37000274658203,120.0,117.93000030517578,118.08000183105469,133279,0.0,0.0,0.0,,
2025-07-09 00:00:00+01:00,118.16000366210938,125.16000366210938,118.08000183105469,118.54000091552734,212748,0.0,0.0,0.0,,
2025-07-10 00:00:00+01:00,118.75,119.06999969482422,118.62000274658203,119.05000305175781,136259,0.0,0.0,0.0,,
2025-07-11 00:00:00+01:00,118.7699966430664,126.19000244140625,118.19999694824219,118.5199966430664,347026,0.0,0.0,0.0,,
2025-07-14 00:00:00+01:00,117.9000015258789,118.62000274658203,117.83999633789062,118.62000274658203,267997,0.0,0.0,0.0,,
2025-07-15 00:00:00+01:00,119.02999877929688,119.2300033569336,118.23780059814453,118.38999938964844,611142,0.0,0.0,0.0,,
2025-07-16 00:00:00+01:00,117.76000213623047,118.3499984741211,117.62999725341797,117.62999725341797,188988,0.0,0.0,0.0,,
2025-07-17 00:00:00+01:00,118.54000091552734,118.9000015258789,118.20999908447266,118.87999725341797,167926,0.0,0.0,0.0,,
2025-07-18 00:00:00+01:00,119.4000015258789,126.01000213623047,119.0,119.12000274658203,204010,0.0,0.0,0.0,,
2025-07-21 00:00:00+01:00,119.36000061035156,119.81999969482422,119.16999816894531,119.80000305175781,210634,0.0,0.0,0.0,,
2025-07-22 00:00:00+01:00,119.2300033569336,119.37999725341797,118.87999725341797,119.29000091552734,321020,0.0,0.0,0.0,,
2025-07-23 00:00:00+01:00,120.05999755859375,126.44000244140625,120.0,120.1500015258789,149051,0.0,0.0,0.0,,
2025-07-24 00:00:00+01:00,120.91999816894531,121.06999969482422,120.72000122070312,120.95999908447266,210774,0.0,0.0,0.0,,
2025-07-25 00:00:00+01:00,120.7699966430664,120.83999633789062,120.4800033569336,120.79000091552734,137369,0.0,0.0,0.0,,
2025-07-28 00:00:00+01:00,121.44000244140625,128.02999877929688,120.4800033569336,120.62999725341797,199840,0.0,0.0,0.0,,
2025-07-29 00:00:00+01:00,120.58999633789062,121.01000213623047,120.22000122070312,120.23999786376953,171857,0.0,0.0,0.0,,
2025-07-30 00:00:00+01:00,120.48999786376953,120.55000305175781,120.12000274658203,120.16000366210938,374117,0.0,0.0,0.0,,
2025-07-31 00:00:00+01:00,120.88999938964844,121.08999633789062,119.87000274658203,120.08000183105469,277682,0.0,0.0,0.0,,
2025-08-01 00:00:00+01:00,118.94999694824219,119.0199966430664,117.26000213623047,117.62000274658203,536624,0.0,0.0,0.0,,
2025-08-04 00:00:00+01:00,118.08999633789062,124.66999816894531,118.08999633789062,119.16999816894531,414652,0.0,0.0,0.0,,
2025-08-05 00:00:00+01:00,119.80999755859375,119.87000274658203,118.8499984741211,119.0199966430664,146249,0.0,0.0,0.0,,
2025-08-06 00:00:00+01:00,119.61000061035156,120.0105972290039,119.27999877929688,119.93000030517578,125668,0.0,0.0,0.0,,
2025-08-07 00:00:00+01:00,120.37000274658203,130.0,119.885498046875,120.1500015258789,134356,0.0,0.0,0.0,,
2025-08-08 00:00:00+01:00,120.47000122070312,121.04000091552734,120.43000030517578,120.81999969482422,367444,0.0,0.0,0.0,,
2025-08-11 00:00:00+01:00,121.33000183105469,121.38999938964844,120.76000213623047,120.88999938964844,165875,0.0,0.0,0.0,,
2025-08-12 00:00:00+01:00,120.9000015258789,121.69999694824219,120.56999969482422,121.69000244140625,164972,0.0,0.0,0.0,,
2025-08-13 00:00:00+01:00,122.08999633789062,122.62000274658203,122.05000305175781,122.30999755859375,118150,0.0,0.0,0.0,,
2025-08-14 00:00:00+01:00,122.31999969482422,122.81999969482422,121.9000015258789,122.08999633789062,109545,0.0,0.0,0.0,,
2025-08-15 00:00:00+01:00,122.9000015258789,122.95999908447266,122.2968978881836,122.44999694824219,94940,0.0,0.0,0.0,,
2025-08-18 00:00:00+01:00,122.43000030517578,122.44999694824219,122.11000061035156,122.2300033569336,290514,0.0,0.0,0.0,,
2025-08-19 00:00:00+01:00,122.25,129.55999755859375,122.02999877929688,122.25,212988,0.0,0.0,0.0,118.50160018920899,
2025-08-20 00:00:00+01:00,121.58000183105469,121.98999786376953,120.86000061035156,121.44999694824219,168399,0.0,0.0,0.0,118.62220016479492,
2025-08-21 00:00:00+01:00,121.63999938964844,121.68000030517578,120.97000122070312,121.47000122070312,220590,0.0,0.0,0.0,118.7454002380371,
2025-08-22 00:00:00+01:00,120.98999786376953,123.2300033569336,120.94999694824219,123.19999694824219,162084,0.0,0.0,0.0,118.91320022583008,
2025-08-26 00:00:00+01:00,121.94000244140625,147.83999633789062,121.66999816894531,122.11000061035156,300357,0.0,0.0,0.0,119.04800018310547,
2025-08-27 00:00:00+01:00,122.52999877929688,122.68000030517578,122.2699966430664,122.61000061035156,175996,0.0,0.0,0.0,119.20920013427734,
2025-08-28 00:00:00+01:00,122.95999908447266,129.9600067138672,122.7300033569336,122.94999694824219,248145,0.0,0.0,0.0,119.37860000610351,
2025-08-29 00:00:00+01:00,123.02999877929688,123.13999938964844,122.22000122070312,122.36000061035156,403671,0.0,0.0,0.0,119.5668000793457,
2025-09-01 00:00:00+01:00,122.58000183105469,122.83999633789062,122.4800033569336,122.70999908447266,157130,0.0,0.0,0.0,119.74360000610352,
2025-09-02 00:00:00+01:00,122.54000091552734,122.5999984741211,120.75,120.87999725341797,514873,0.0,0.0,0.0,119.88299987792969,
2025-09-03 00:00:00+01:00,121.54000091552734,122.18000030517578,121.30000305175781,121.94000244140625,157129,0.0,0.0,0.0,120.00779998779296,
2025-09-04 00:00:00+01:00,122.13999938964844,129.25,122.12000274658203,122.55999755859375,214464,0.0,0.0,0.0,120.14759994506836,
2025-09-05 00:00:00+01:00,123.43000030517578,123.83999633789062,122.36000061035156,122.83000183105469,132617,0.0,0.0,0.0,120.27380004882812,
2025-09-08 00:00:00+01:00,123.2699966430664,123.6272964477539,123.19999694824219,123.58000183105469,141569,0.0,0.0,0.0,120.39320007324218,
2025-09-09 00:00:00+01:00,123.6500015258789,123.80000305175781,123.13999938964844,123.36000061035156,179257,0.0,0.0,0.0,120.50720001220704,
2025-09-10 00:00:00+01:00,124.0,130.75999450683594,123.77999877929688,123.98999786376953,362390,0.0,0.0,0.0,120.63300003051758,
2025-09-11 00:00:00+01:00,124.11000061035156,131.4199981689453,123.94999694824219,124.95999908447266,131017,0.0,0.0,0.0,120.7697999572754,
2025-09-12 00:00:00+01:00,124.9000015258789,124.98999786376953,124.58000183105469,124.80999755859375,248099,0.0,0.0,0.0,120.88379989624023,
2025-09-15 00:00:00+01:00,125.0199966430664,130.0,124.9000015258789,125.44999694824219,501427,0.0,0.0,0.0,121.0231997680664,
2025-09-16 00:00:00+01:00,125.62999725341797,125.91000366210938,125.12000274658203,125.18000030517578,145567,0.0,0.0,0.0,121.15899978637695,
2025-09-17 00:00:00+01:00,125.37000274658203,125.4800033569336,125.08999633789062,125.18000030517578,541508,0.0,0.0,0.0,121.30099975585938,
2025-09-18 00:00:00+01:00,125.55000305175781,126.19999694824219,125.22000122070312,125.9000015258789,179436,0.0,0.0,0.0,121.4481997680664,
2025-09-19 00:00:00+01:00,125.5,125.95999908447266,125.3499984741211,125.5199966430664,151003,0.0,0.0,0.0,121.57759963989258,
2025-09-22 00:00:00+01:00,125.8499984741211,126.2699966430664,125.55000305175781,126.19000244140625,256822,0.0,0.0,0.0,121.73099975585937,
2025-09-23 00:00:00+01:00,126.5999984741211,126.7699966430664,126.44000244140625,126.44000244140625,264987,0.0,0.0,0.0,121.88739974975586,
2025-09-24 00:00:00+01:00,126.18000030517578,126.41999816894531,125.7300033569336,125.7300033569336,318976,0.0,0.0,0.0,122.03419982910157,
2025-09-25 00:00:00+01:00,125.5199966430664,125.62999725341797,124.36000061035156,124.86000061035156,310116,0.0,0.0,0.0,122.17879989624024,
2025-09-26 00:00:00+01:00,124.98999786376953,125.62999725341797,124.76000213623047,125.2300033569336,223086,0.0,0.0,0.0,122.30580001831055,
2025-09-29 00:00:00+01:00,126.08999633789062,126.29000091552734,125.80999755859375,125.93000030517578,319477,0.0,0.0,0.0,122.44199996948242,
2025-09-30 00:00:00+01:00,125.87999725341797,126.1001968383789,125.63999938964844,125.80000305175781,788162,0.0,0.0,0.0,122.56199996948243,
2025-10-01 00:00:00+01:00,125.62999725341797,126.70999908447266,125.5999984741211,126.62000274658203,246592,0.0,0.0,0.0,122.70860000610351,
2025-10-02 00:00:00+01:00,127.16999816894531,127.51000213623047,126.75,126.7699966430664,145684,0.0,0.0,0.0,122.84099990844726,
2025-10-03 00:00:00+01:00,127.58000183105469,127.9800033569336,127.38999938964844,127.83000183105469,203207,0.0,0.0,0.0,122.9783999633789,
