Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200
2025-06-16 00:00:00+08:00,391.043695380774,393.9912609238452,389.56991260923843,393.5,4977272,0.0,0.0,,
2025-06-17 00:00:00+08:00,395.0,398.5,393.0,395.0,6977658,7.0,0.0,,
2025-06-18 00:00:00+08:00,395.0,402.0,394.0,400.5,5519023,0.0,0.0,,
2025-06-19 00:00:00+08:00,400.5,408.0,400.5,404.0,9073025,0.0,0.0,,
2025-06-20 00:00:00+08:00,402.0,406.0,398.5,400.0,19669788,0.0,0.0,,
2025-06-23 00:00:00+08:00,396.0,403.0,396.0,400.0,6099946,0.0,0.0,,
2025-06-24 00:00:00+08:00,402.0,418.0,402.0,417.0,11116100,0.0,0.0,,
2025-06-25 00:00:00+08:00,420.0,428.5,420.0,423.5,11108825,0.0,0.0,,
2025-06-26 00:00:00+08:00,422.5,424.5,418.0,420.0,7336581,0.0,0.0,,
2025-06-27 00:00:00+08:00,421.0,426.5,419.5,424.0,7345295,0.0,0.0,,
2025-06-30 00:00:00+08:00,420.5,425.0,413.0,413.0,5198117,0.0,0.0,,
2025-07-01 00:00:00+08:00,417.0,432.5,417.0,428.0,10078725,0.0,0.0,,
2025-07-02 00:00:00+08:00,421.5,434.5,421.0,429.5,6626261,0.0,0.0,,
2025-07-03 00:00:00+08:00,431.5,460.0,431.0,459.0,22317749,0.0,0.0,,
2025-07-04 00:00:00+08:00,451.5,461.5,450.5,457.0,14577748,0.0,0.0,,
2025-07-07 00:00:00+08:00,452.0,458.5,448.0,450.0,8986785,0.0,0.0,,
2025-07-08 00:00:00+08:00,450.0,455.0,446.5,451.5,10717852,0.0,0.0,,
2025-07-09 00:00:00+08:00,442.0,452.0,440.0,451.0,11825025,0.0,0.0,,
2025-07-10 00:00:00+08:00,458.0,485.5,458.0,482.5,22619776,0.0,0.0,,
2025-07-11 00:00:00+08:00,471.0,491.5,471.0,483.0,13587750,0.0,0.0,,
2025-07-14 00:00:00+08:00,478.5,482.5,472.5,473.0,6912679,0.0,0.0,,
2025-07-15 00:00:00+08:00,483.0,496.0,480.0,494.0,15644025,0.0,0.0,,
2025-07-16 00:00:00+08:00,500.0,513.0,495.5,500.0,23245466,0.0,0.0,,
2025-07-17 00:00:00+08:00,494.0,503.0,490.0,499.0,9166864,0.0,0.0,,
